#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
amyA	NE	NE
glgA	NE	NE
glgB	NE	NE
malP	NE	NE
malS	NE	NE
malZ	NE	NE
gldA	NE	NE
pdxJ	E	E
yfcF|gstA	NE	NE|NE
alkB	NE	NE
ilvC	E	E
ilvD	E	E
plsC	E	E
kduD	NE	NE
rsmI	E	E
rsmF	NE	NE
rsmB	NE	NE
rsmA	NE	NE
rsmH	NE	NE
rsmC	NE	NE
rsmG	NE	NE
rsmD	NE	NE
rsmJ	NE	NE
rsmE	NE	NE
rsuA	NE	NE
cdsA	E	E
cueO	NE	NE
entA	NE	NE
entB&entD&entF	E	NE&E&NE
entE	NE	NE
entH	NE	NE
hcaB	NE	NE
mhpA	NE	NE
mhpB	NE	NE
yihU	NE	NE
citG	NE	NE
citX	NE	NE
ilvI&ilvH|ilvG_1&ilvM|ilvB&ilvN	NE	NE&NE|NE&NE|NE&NE
aas	NE	NE
pldA	NE	NE
pldB|tesA	NE	NE|NE
pdxA	E	E
dsdA	NE	NE
metC|cysK|cysM|malY|tnaA	NE	E|NE|NE|NE|NE
metC|malY	NE	E|NE
sdaB|tdcB|sdaA|tdcG	NE	NE|NE|NE|NE
tnaA	NE	NE
avtA	NE	NE
ydfG	NE	NE
dxr	E	E
ispD	E	E
dmlA|leuB	NE	NE|E
leuC&leuD	E	E&E
dgoD	NE	NE
dgoK	NE	NE
kdgK	NE	NE
kdgT	NE	NE
uxaA	NE	NE
uxuA	NE	NE
yagE	NE	NE
ilvC|panE	NE	E|NE
panB	E	E
manZ&manY&manX	NE	NE&NE&NE
yniC	NE	NE
yagE|yjhH	NE	NE|NE
yagF|yjhG	NE	NE|NE
fabI	E	E
serA	E	E
eda	NE	NE
edd	NE	NE
ilvE	E	E
leuA	E	E
alaC|alaA|alaB	NE	NE|NE|alaB
argD	NE	NE
arnB	NE	NE
aspC	NE	NE
aspC|tyrB	NE	NE|NE
astC	NE	NE
astC|argD	NE	NE|NE
gltD&gltB	NE	NE&NE
gltD&gltB|gdhA	NE	NE&NE|NE
hisC	E	E
icd	E	E
ilvE|aspC|tyrB	NE	E|NE|NE
kgtP	NE	NE
lhgO	NE	NE
menD	NE	NE
patA	NE	NE
puuE|gabT	NE	NE|NE
rffA	NE	NE
roxA	NE	NE
serC	E	E
sucA	NE	NE
tauD	NE	NE
tyrB	NE	NE
tyrB|ilvE	NE	NE|E
yghU|yfcG	NE	NE|NE
mngA	NE	NE
trmJ	NE	NE
trmL	NE	NE
trmH	NE	NE
ubiG	NE	NE
ubiI	NE	NE
ubiH	NE	NE
ubiX|ubiD	NE	NE|E
dadA	NE	NE
ybdL	NE	NE
metB	E	E
pflB|tdcE	NE	NE|NE
eno	E	E
garK	NE	NE
gpmA	NE	NE
gpmM	NE	NE
phoA	NE	NE
ispE	E	E
ispF	E	E
yhhW	NE	NE
chpB	NE	NE
ygeX	NE	NE
rlmN	NE	NE
rlmM	NE	NE
rlmB	NE	NE
rlmE	NE	NE
rlmI	NE	NE
rlmD	NE	NE
rlmC	NE	NE
rlmF	NE	NE
rlmJ	NE	NE
rlmG	NE	NE
rlmL	NE	NE
rlmA	NE	NE
rlmH	NE	NE
rluD	NE	NE
rluE	NE	NE
rluF	NE	NE
rluB	NE	NE
rluA	NE	NE
rluC	NE	NE
rna	NE	NE
dkgA|dkgB	NE	NE|NE
ghrB	NE	NE
ispG	E	E
acpT|acpS	NE	NE|E
cysH	E	E
cysQ	NE	NE
entD	E	E
ygjK	NE	NE
dcyD	NE	NE
aroD	NE	NE
aroE	E	E
ydiB	NE	NE
aroB	E	E
aroF|aroH|aroG	NE	NE|NE|NE
aroA	E	E
aroC	E	E
fabG	E	E
fabZ	E	E
puuC	NE	NE
ydfG|rutE	NE	NE|NE
nfi	NE	NE
paaF	NE	NE
paaH	NE	NE
mhpT	NE	NE
paaJ	NE	NE
lyxK	NE	NE
yiaK	NE	NE
fadI|fadA	NE	NE|NE
fadJ|fadB	NE	NE|NE
atoE	NE	NE
ydiF|atoA	NE	NE|NE
fabB	E	E
sseA	NE	NE
tag	NE	NE
aidB	NE	NE
ubiA	E	E
fabF	NE	NE
nudL	NE	NE
phoA|aphA|serB	NE	NE|NE|E
hcaC&hcaD&hcaF&hcaE	NE	NE&NE&NE&NE
rtcA	NE	NE
aphA|umpG|cpdB	NE	NE|NE|NE
cpdB	NE	NE
sufS|csdA	NE	NE|NE
nth|nei	NE	NE|NE
paaI	NE	NE
pdxB	E	E
pabB&pabA	E	E&E
pabC	NE	NE
patD	NE	NE
gabP	NE	NE
gadB|gadA	NE	NE|NE
gadC	NE	NE
puuD	NE	NE
mhpD	NE	NE
mhpE	NE	NE
aaeA&aaeB	NE	NE&NE
ubiC	NE	NE
coaA	E	E
dfp	E	E
thrB	E	E
fau	NE	NE
folD	E	E
glyA	E	E
hemB	E	E
hemL	E	E
arnA	NE	NE
idnD	NE	NE
idnO	NE	NE
idnT	NE	NE
nudG	NE	NE
cmoB	NE	NE
garD	NE	NE
garL	NE	NE
gudD	NE	NE
ggt&ggt	NE	NE&NE
metF	E	E
metH	NE	NE
dcm	NE	NE
mtn	NE	NE
speE	NE	NE
purD	E	E
purF	E	E
purL	E	E
purN	NE	NE
purT	NE	NE
endA	NE	NE
recE|polA	NE	NE|E
nfo	NE	NE
ralR	NE	NE
recD&recC&recB	NE	NE&NE&NE
purK	E	E
purM	E	E
thiC	NE	NE
hmp|nfsB	NE	NE|NE
